Time Steps,Average Return,Standard Error
1000,-401.63585779551164,nan
2000,-418.3113559533724,16.6754981578608
3000,-411.99579173732815,11.514212853596131
4000,-454.17836921235386,42.96112651287793
5000,-468.00123503402756,36.034242801497804
6000,-460.4852324076348,30.366671395870956
7000,-442.90654129774254,31.10752395501554
8000,-442.65221815735276,26.941106421575135
9000,-441.24986210405626,23.80117160755938
10000,-403.04063606171707,43.73947382706568
11000,-355.69850671764976,61.69744613482171
12000,-360.73761370678676,56.54677988663303
13000,-365.1552559183292,52.202728919414376
14000,-368.78255886946073,48.46626326882027
15000,-373.2358730791496,45.338874335318486
16000,-377.14603494690573,42.59050599695465
17000,-380.1019081496047,40.11586174832829
18000,-381.8762360137544,37.863193891243945
19000,-383.82954167592607,35.86822177680288
20000,-385.95017391060037,34.093598829716775
21000,-384.5716120770219,32.458768885919774
22000,-387.763318115362,31.112367663157652
23000,-390.5330946853482,29.857644921143724
24000,-393.43761601998773,28.733696091303393
25000,-395.7578802984755,27.65789026849335
26000,-398.0021272650712,26.66744357258375
27000,-399.99002510965937,25.737643989212778
28000,-401.8213441623942,24.868934074638076
29000,-403.67559263487396,24.0676014153581
30000,-404.8945613600036,23.283442474187996
31000,-406.9306351787004,22.611698088968488
32000,-407.9329301417785,21.916613105256623
33000,-409.1657199736867,21.2778361465131
34000,-410.24289626605804,20.67061885616755
35000,-411.3944963651949,20.10435231215297
36000,-412.49006693464,19.56861097644972
37000,-413.89752382615814,19.084352820613827
38000,-414.993990130848,18.607678006756075
39000,-415.85406700703413,18.144674818715536
40000,-416.86327553959563,17.714013236002685
41000,-417.29856305111184,17.282045396116587
42000,-418.12275113515665,16.885675624798502
43000,-418.9696611290953,16.51004607818941
44000,-419.0934390107428,16.130928949170855
45000,-417.6953998816521,15.830244232065976
46000,-422.2952470554148,16.151152302862837
47000,-423.23624807899574,15.83176522025912
48000,-424.0655323726491,15.520598233086286
49000,-424.33244079979454,15.202894684371852
50000,-418.7096805065863,15.921630564349151
51000,-420.2213113854585,15.679357039116807
52000,-420.32890740418617,15.375251002937933
53000,-420.90434481263287,15.093335595900731
54000,-419.654243467661,14.863854499516474
55000,-418.4916997909758,14.637339530926457
56000,-416.215452236282,14.552703004602654
57000,-418.4928976775348,14.475393066062
58000,-415.5111250242275,14.532809729284754
59000,-415.31518389968335,14.285711140326343
60000,-411.69423670945633,14.504829652444348
61000,-409.70188249689045,14.403524674137293
62000,-412.85867584870965,14.516699353151251
63000,-412.78155181197,14.284625378062733
64000,-413.0233952293702,14.06173643657306
65000,-412.24691491392866,13.86547072670433
66000,-413.07944678516844,13.679129777597629
67000,-415.5374233194617,13.695788057622122
68000,-414.5689751195671,13.52758670738401
69000,-416.37456343529715,13.451822588044394
70000,-419.5229029117009,13.626941280337073
71000,-419.69609218912865,13.43475788986941
72000,-419.3930612998044,13.25031549152189
73000,-418.5323815468828,13.09585696687656
74000,-433.50037758675654,19.77137325250556
75000,-441.49955060180383,21.082451878442008
76000,-443.60482837229324,20.90945715730922
77000,-444.2564674662201,20.646405201451326
78000,-444.16235719561314,20.380206100461308
79000,-444.0569816941209,20.120850973963517
80000,-444.0771413069513,19.867758661422453
81000,-444.1055675006598,19.620965215803427
82000,-444.1192627111637,19.380212897406686
83000,-444.302307379385,19.146167552573246
84000,-444.429097017241,18.917288757789535
85000,-444.51617849428277,18.69361046173853
86000,-444.6626824296,18.475545090193965
87000,-444.628468907233,18.261979844275476
88000,-444.5151226517694,18.053620463677554
89000,-444.50233118651397,17.849622786738454
90000,-444.8523934791586,17.65365051456147
91000,-444.8675390277831,17.458583134834726
92000,-444.93876638002524,17.26792011962698
93000,-444.764958503937,17.082118674466546
94000,-444.31674033639507,16.90535989818858
95000,-443.3261955055129,16.755766638637734
96000,-443.52660513734736,16.58151990197744
97000,-443.307960233042,16.411142605610813
98000,-443.4601275522694,16.243531502272308
99000,-443.0774594567761,16.08317135160852
100000,-443.0449869379877,15.92156045038216
101000,-443.3846312918034,15.916259505166229
102000,-443.5699163965003,15.916350498946969
103000,-443.90439491169826,15.910480442855917
104000,-442.568137040784,15.85040870770879
105000,-441.6219398842323,15.829961708030448
106000,-441.94242784193113,15.829378342898556
107000,-443.0659322269026,15.794285545889428
108000,-442.9599297912006,15.794789987232111
109000,-442.9382850556532,15.794983780576725
110000,-446.8646100057912,15.31196176592725
111000,-452.409355242968,14.211195741461276
112000,-452.5328653161302,14.208550626005863
113000,-453.2674182970982,14.209592102992953
114000,-453.75910236969764,14.205050595578658
115000,-454.2067593719782,14.206318160292474
116000,-454.557922089765,14.206062046084364
117000,-455.0560905127535,14.205175521796747
118000,-455.5520425247622,14.198661552475007
119000,-456.0374421794254,14.194332107503914
120000,-456.3653371417321,14.191166658141785
121000,-457.5028355978738,14.156261166318213
122000,-457.68174109616353,14.157045222186648
123000,-457.92221200783735,14.158021408725034
124000,-458.02540897409415,14.158568263357532
125000,-458.1552796271764,14.15855412565045
126000,-458.4259058484591,14.160359029912723
127000,-458.6536478056944,14.161093745330348
128000,-458.350226676079,14.1659422129636
129000,-457.59558794870253,14.187508918337517
130000,-457.7605910710992,14.186430058285726
131000,-457.2817535855684,14.191015047215137
132000,-455.580221221802,14.314622054507614
133000,-455.5448765904679,14.31483940558606
134000,-455.6571548739778,14.314506854619808
135000,-455.65751800114214,14.31450555028563
136000,-455.5693385178731,14.315077210975076
137000,-455.29700801228444,14.315938786710138
138000,-455.24778156408655,14.316014173782383
139000,-455.3579928872285,14.31591655593029
140000,-455.2113410122745,14.316578244685857
141000,-455.3110331204228,14.315483294291155
142000,-455.26297902570263,14.315679114214493
143000,-455.16960977904523,14.316031232830952
144000,-455.34193424747093,14.313328857269042
145000,-456.01449924481807,14.282031341195426
146000,-453.28942203451385,14.207863339344055
147000,-450.28476079658844,14.49441725013401
148000,-449.34288030096445,14.51662939437713
149000,-449.3863721868793,14.516325372805161
150000,-452.49806542403877,14.18303032130989
151000,-451.6809915180731,14.18136617051771
152000,-450.9182780891255,14.215885848011672
153000,-450.38968659586004,14.22574402878413
154000,-452.0076676914237,14.206314336418501
155000,-452.7987624746198,14.174140739183159
156000,-453.19101251093605,14.134290434549886
157000,-449.32557795492227,14.403819094716061
158000,-451.2340175309463,14.256777949042728
159000,-451.6296786572959,14.249011248625724
160000,-454.1115824357667,14.017140791139292
161000,-455.66561526016017,13.91934190206183
162000,-454.0912393943523,13.837037857774277
163000,-454.3573591912095,13.830641413774845
164000,-454.5954686767916,13.828152438068125
165000,-455.4026887563929,13.797405925302161
166000,-455.0793656749138,13.798403158269144
167000,-453.75521521042856,13.742904730964037
168000,-454.3177074406391,13.711353137571749
169000,-453.3934524673119,13.684713870310002
170000,-451.43365843595996,13.559219785110034
171000,-451.5986896738122,13.557812620638131
172000,-452.32544202587565,13.5482002550474
173000,-453.340840342733,13.513711133990995
174000,-442.52356865507386,8.073964070978581
175000,-436.70716626575927,5.439221098243894
176000,-435.1987495122458,5.180606552953817
177000,-434.6274113221989,5.146741097720702
178000,-434.8369446957481,5.151944796474674
179000,-435.1814120539226,5.16412210232893
180000,-434.6463593971037,5.180836656782048
181000,-433.65869869194023,5.251897805449733
182000,-432.97916551355456,5.280659551631293
183000,-432.9433944780329,5.278978645545815
184000,-432.77123164717506,5.274533782340528
185000,-432.5890888511281,5.271029236585668
186000,-432.81528270704024,5.286491102156178
187000,-432.02886699146256,5.331463723029346
188000,-431.2834708279583,5.37964592765193
189000,-430.67625841099516,5.4000880362537576
190000,-430.6605713562305,5.398780493000985
191000,-430.6150441123293,5.397646069561384
