Timesteps,Average Return,Standard Error
9000,9.30071065159912,0.643815078391725
12000,10.900530249405804,0.9295386645569691
53000,11.340479625973435,0.739020374549215
86000,15.295932956057753,1.6499045436653088
161000,21.581576641642886,2.711589582815698
187000,23.054566054767175,2.9973004647699204
189000,31.062716659279793,3.7872356932972764
201000,36.68858373787169,3.650544960330926
218000,45.51955227679466,3.599301048990476
299000,58.613715282436026,4.656053689740985
353000,55.69677316510675,3.8021386674420263
532000,64.73649209532779,3.7323042354838654
567000,72.13797597458608,4.401719806495463
653000,76.78060960684763,4.606576416921157
671000,88.76514946353491,4.789578944910439
687000,85.2500890426039,4.761938392222847
755000,97.96118239098381,5.129015583786018
825000,81.5551795175314,4.513921820745656
853000,107.4022440880478,5.20905752480531
955000,106.64256891280124,4.891072353666151
