Steps,AvgReturn,StdError
1000,7.3625994,0.27796618799980055
2000,7.7868667,0.37863083762473654
3000,4.434703,0.06473045500561751
4000,6.3313885,0.8611198128726979
5000,3.4823575,0.09416626871999656
6000,7.288049,0.7944739492738719
7000,9.202935,0.1801989330298742
8000,8.189194,0.08937052349429218
9000,7.2084656,0.0715657789768117
10000,6.631758,0.04616067702704116
11000,6.0563574,0.04589413364486228
12000,5.8658524,0.02267115330827201
13000,5.756171,0.016602727635855956
14000,5.9406962,0.01186614476848449
15000,6.035407,0.010376525857550216
16000,6.261494,0.013492099453143435
17000,6.482669,0.007697134615130045
18000,6.511898,0.012539075510368425
19000,6.571748,0.011524285740354748
20000,6.5465593,0.011027681703844147
21000,6.3954062,0.009487652684457174
22000,6.4319344,0.006871387316719874
23000,6.3701468,0.009441740922618326
24000,6.285327,0.015230911569766133
25000,6.2358713,0.008510194420275537
26000,6.266199,0.009825843295314288
27000,8.5167465,0.018662568673281928
28000,6.215569,0.006161165122371679
29000,6.4460235,0.009705441693724998
30000,7.8374605,0.20468337769215728
31000,6.462335,0.007920023949568663
32000,6.6228395,0.032665229583567344
33000,8.986597,0.01609398271674686
34000,9.172139,0.01881230229852927
35000,9.134351,0.021423276498578704
36000,8.896795,0.019382334760544125
37000,8.773579,0.013705991505334235
38000,8.99681,0.020671307503620753
39000,9.261976,0.021702179878838646
40000,9.332408,0.016425808376247512
41000,9.0733185,0.013637504958589997
42000,8.856699,0.021367267753938414
43000,8.478441,0.012781603364442033
44000,8.186599,0.011892962854294187
45000,7.998394,0.011676440238272374
46000,7.916646,0.006699136041518236
47000,8.025194,0.008956229312902547
48000,8.116029,0.006032622084760831
49000,8.165739,0.009881820821888515
50000,8.309663,0.009080375315359225
51000,8.384339,0.009732784596456647
52000,8.458399,0.009079639040216195
53000,8.481821,0.008738026811514397
54000,8.962304,0.018314744049433306
55000,9.389461,0.015364718091119469
56000,9.274766,0.02744929154471605
57000,9.375023,0.014968910710709687
58000,10.167376,0.021179283162460413
59000,10.072967,0.006790068966782922
60000,10.011332,0.012494481975545658
61000,9.795944,0.006216389881239674
62000,9.934651,0.007944956581992091
63000,10.022417,0.005571484127379891
64000,10.1028805,0.006967530124896634
65000,10.071192,0.01598369459052222
66000,10.186052,0.029442029054626447
67000,10.472529,0.04834826945904419
68000,11.113025,0.07370163188196378
69000,10.798154,0.08799394107743644
70000,11.171249,0.08828095879879268
71000,11.136604,0.02039492984161146
72000,10.67074,0.17669431047066408
73000,10.2031145,0.24455787184460073
74000,9.836171,0.1871149527567444
75000,11.804826,0.11084588586354913
76000,13.96275,0.13616336518109803
77000,13.729446,0.08960216390057078
78000,14.369181,0.1928862001108304
79000,14.276154,0.07545554058411914
80000,14.475604,0.035343923426172034
81000,16.87917,0.10278596080150318
82000,16.3612,0.04292634873009858
83000,17.026037,0.14684352501743236
84000,18.093037,0.12725881354793442
85000,18.29287,0.08079392883651769
86000,17.847187,0.05142354347644879
87000,17.613861,0.053783761211426126
88000,17.441448,0.07958862404461445
89000,16.329264,0.1266807821927657
90000,16.697384,0.1348698110395714
91000,16.360687,0.05598983945070022
92000,16.58418,0.20258492049602972
93000,14.769214,0.3120319448459151
94000,17.138922,0.14046316489477972
95000,15.988423,0.13743429152590894
96000,16.868801,0.11104488984332775
97000,17.478006,0.13767470597581202
98000,15.475561,0.22338372022537717
99000,15.77478,0.230700122840906
100000,15.271985,0.06370166304944376
101000,15.144453,0.08090462692074198
102000,15.083414,0.05154102707239123
103000,14.846446,0.07542624036754728
104000,14.955393,0.019377113686249874
105000,14.648694,0.0508720415872337
106000,14.802859,0.057399133688630574
107000,14.788048,0.06999612047860888
108000,14.69634,0.07666634917997156
109000,14.621483,0.150906642312656
110000,13.15769,0.23902083773665314
111000,12.797998,0.3498453398139682
112000,12.655078,0.14561170018389732
113000,12.886927,0.3007026094489116
114000,11.918152,0.5065192618412195
115000,12.615885,0.43119208994475733
116000,10.953931,0.3265942938469659
117000,11.000691,0.3260201264637478
118000,11.997131,0.3109283379108878
119000,12.409274,0.13432894920970326
120000,11.189196,0.34911778216863243
121000,10.975295,0.3496355921073025
122000,11.826675,0.33648591125139754
123000,11.986376,0.21366984553067397
124000,12.020194,0.37113748394251306
125000,11.576831,0.3922504151671239
126000,10.470619,0.1464735638396435
127000,10.63835,0.25667361035245145
128000,9.95073,0.15305698040046198
129000,9.949095,0.220798892628207
130000,9.815542,0.0815894452665752
131000,9.95123,0.054740164951617695
132000,9.820916,0.07540494140020972
133000,10.014717,0.07333949289129443
134000,10.049952,0.11754463727493264
135000,9.858965,0.10946405409943365
136000,9.793747,0.09805922046024373
137000,9.251651,0.04084244739903864
138000,9.564012,0.10312635788170893
139000,9.12141,0.12694042225920354
140000,9.546854,0.049854488134843146
141000,9.425371,0.04853050285812496
142000,9.567352,0.18623515461655427
143000,8.682547,0.3783438858736331
144000,7.6976075,0.2168856880203455
145000,8.142657,0.21327259151686317
146000,8.077577,0.36963509625353835
147000,8.723594,0.5298803838872053
148000,8.212702,0.46367459842058917
149000,8.590041,0.32276353320648
150000,9.263013,0.2619683451461299
151000,9.006235,0.1937416458034098
152000,9.998075,0.21905149142027577
153000,10.0563965,0.33049336197208123
154000,9.250952,0.22279285294387494
155000,8.877214,0.3453547258561788
156000,8.48678,0.39277949659470357
157000,8.071694,0.3445619519037741
158000,8.409506,0.5756312442794351
159000,10.906878,0.7444995602045368
160000,11.665103,0.8544648091632528
161000,11.12425,0.44251884307757927
162000,11.151036,0.7317800430942757
163000,11.517065,0.5394048674103972
164000,11.583994,0.23792833265274244
165000,12.676793,0.6739003820841376
166000,12.007116,1.221634427431286
167000,12.845616,0.7571286792197971
168000,13.14552,1.1358039619462876
169000,12.171331,0.6509973951709894
170000,12.727095,0.5980268634025018
171000,13.323706,1.109669035801781
172000,13.39198,1.0404827520102515
173000,12.265857,0.4617005799699151
174000,11.921975,0.702330620659173
175000,10.201877,0.4867039466408443
176000,10.911566,0.3783807538206351
177000,9.786588,0.1761187105905277
178000,10.582419,0.2925129303238995
179000,11.234484,0.1800403405421059
180000,10.870724,0.2838056108980104
181000,12.242825,0.06901721617004633
182000,12.020765,0.07481902188766865
183000,10.946455,0.2078983342955767
184000,10.494004,0.23595834781181196
185000,10.333101,0.6973088896202885
186000,9.229421,0.029454681206684263
187000,9.460238,0.309264002675573
188000,9.451461,0.28864861909769607
189000,10.063783,0.3248245946935831
190000,10.021573,0.36202846222290896
191000,10.164752,0.45159695302157843
192000,12.665924,0.91265471884806
193000,10.466252,0.47669309271660976
194000,11.280795,0.9183770916691317
195000,10.112686,0.29935628852945445
196000,9.853888,0.33810025988372183
197000,10.740565,0.4741113562970001
198000,9.896754,0.38458207067714667
199000,11.037321,0.5455819072138727
200000,9.783339,0.29771773823866865
201000,10.350137,0.42900851227385417
202000,9.699915,0.22300030111601396
203000,12.004246,0.7980646158913971
204000,12.300569,0.6268828928378516
205000,11.518026,0.4247530539943863
206000,10.713499,0.21237058967443975
207000,12.158134,0.756662665353909
208000,11.461718,0.37841566150869627
209000,11.048189,0.4776040853620597
210000,9.701456,0.2408564505969204
211000,12.536662,1.2491578200624769
212000,11.562625,0.6240485091986024
213000,12.98665,0.5404323069763882
214000,12.650724,0.5300415774877988
215000,11.78397,0.47614391863488686
216000,13.047102,0.8314997725151709
217000,11.954367,0.43914595368891973
218000,12.17405,0.3355584071941
219000,13.509872,0.47456771965733346
220000,11.477219,0.3654744089544007
221000,11.482024,0.5220855273009717
222000,10.431666,0.21008017789126296
223000,11.064356,0.3535592388637525
224000,10.0490885,0.24473350350623904
225000,10.180044,0.30841598334859627
226000,12.158727,0.6722941006713004
227000,12.040458,0.5149618332182385
228000,12.65671,0.6691574601822947
229000,13.125712,0.7557875605259906
230000,13.489405,0.7961256182206462
231000,12.0193,0.5435540947341886
232000,11.90736,0.42974594660846865
233000,11.749595,0.3433295521866074
234000,12.911954,0.18990556984541135
235000,12.177587,0.24662594502714588
236000,13.384993,0.7982498603613027
237000,13.260361,0.5975222475143948
238000,13.437828,1.0741827697747575
239000,13.546328,0.9008869074535578
240000,11.713652,0.35866175518937043
241000,11.436293,0.2806343642992421
242000,12.02052,0.401343566328765
243000,11.850722,0.6316008214381992
244000,12.394396,0.6670337458036606
245000,11.931844,0.2729084372028788
246000,12.039837,0.5082534501499439
247000,10.068075,0.6871714859025103
248000,11.927905,1.2408273227206694
249000,12.519539,0.29369577695688004
250000,12.09034,0.28013941776533346
251000,12.480174,0.36148697838780003
252000,12.662217,0.6167665996009742
253000,13.008982,0.8973565564957497
254000,15.047366,1.019453998828233
255000,12.355696,0.4368434033792249
256000,12.967313,0.45786480559021525
257000,13.938342,0.3262898882518319
258000,13.200264,0.33015525500208037
259000,12.300913,0.31212820486909465
260000,11.94615,0.2656426054982939
261000,12.192536,0.30357239084095705
262000,12.410247,0.3897546285626109
263000,11.274454,0.24878484982349605
264000,11.192432,0.10307725716497058
265000,10.973635,0.10879834827827323
266000,11.81262,0.2869486410772173
267000,11.818158,0.2450769069451088
268000,11.441758,0.22280156101724657
269000,11.586448,0.27272894156928984
270000,11.356518,0.0777313352441364
271000,13.748358,0.7072353393182066
272000,12.604637,0.5523213905442088
273000,13.201563,1.2525112199535904
274000,14.857152,1.7146761928060388
275000,14.918515,0.8887310401833517
276000,13.813948,0.845391524472031
