Timesteps,Average Return,Standard Error
31000,13.950506428153663,0.9723295332524856
56000,12.750113768856265,0.880989548864175
98000,13.396031424484468,0.7600283286696727
185000,15.246894265229164,0.912412142925714
200000,17.6248051095019,1.1289306722993229
210000,29.036688368709637,2.654067237903718
221000,28.17487329631829,3.1543509832021615
236000,28.25553644353999,2.1495598089388577
261000,34.0604459420891,2.740457045447255
304000,54.305628810767246,4.537215263172927
307000,50.20446692276704,3.3963700011701854
326000,46.67380083082249,3.188612339800925
377000,47.323088493649635,3.3858325563342797
384000,35.723222751742775,2.1929060064458232
471000,46.96881100751732,3.103905689656021
669000,55.71582092742798,3.4343118378149824
762000,84.93512659742126,5.724657220802161
787000,89.63902742687677,5.2199574267372135
793000,99.14145723366222,5.366594525447997
938000,117.72825493291843,5.462541319893083
