Timesteps,Average Return,Standard Error
2000,-814.0807623827338,0
4000,-803.0693579124982,0
6000,-816.217150269936,0
8000,-814.892437432803,0
10000,-780.9148155092008,0
12000,-783.8856512413021,0
14000,-795.320248937903,0
16000,-784.3341165544057,0
18000,-782.1675092017163,0
20000,-783.4625686418074,0
22000,-798.5885994176246,0
24000,-797.0671379399228,0
26000,-793.9474325287994,0
28000,-792.2146661235159,0
30000,-791.7628223927132,0
