Steps,Average Return,Standard Error
1000,18.61,2.15
2000,34.06,4.25
3000,47.02,5
4000,65.3,5.76
5000,84.43,6.76
6000,103.57,6.83
7000,117.31,6.61
8000,135.45,6.79
9000,154.65,7.21
10000,161.41,7.57
11000,172.95,7.18
12000,184.18,6.22
13000,190.55,5.96
14000,192.81,5.72
15000,189.09,6.14
16000,197.02,5.93
17000,202.86,6.12
18000,202.28,6.05
19000,200.47,6.2
20000,209.89,5.39
21000,217.13,6.05
22000,208.17,8.18
23000,207.86,9.05
24000,208.56,9.24
25000,210.62,9.13
26000,209.61,9.22
27000,208.99,9.1
28000,207.48,9.18
29000,202.15,9.6
30000,197.67,9.33
31000,201.29,8.45
32000,212.38,7.61
33000,217.62,6.88
34000,220.57,6.41
35000,226.95,6.33
36000,237.42,6.54
37000,243.38,6.95
38000,247.07,6.81
39000,250.85,6.78
40000,248.03,7.14
41000,260.17,5.47
42000,260.46,6.18
43000,258.71,7.04
44000,250.89,9.1
45000,244.56,10.01
46000,242.39,10.61
47000,242.82,11.2
48000,238.44,11.59
49000,236.03,11.72
50000,242.19,14
51000,238.73,14.03
52000,234.91,14.39
53000,227.3,14.64
54000,214.34,15.05
55000,213.16,15.07
56000,220.71,16.91
57000,228.92,18.89
58000,232.05,19
59000,232.56,19.19
60000,234.91,18.93
61000,237.94,18.45
62000,236.24,17.87
63000,244.66,17.18
64000,245.07,16.77
65000,247.32,16.87
66000,261.19,18.11
67000,265.48,18.51
68000,268.02,18.84
69000,264.28,17.4
70000,270.73,17.59
71000,281.4,18.15
72000,291.42,17.49
73000,304.13,16.98
74000,293.05,13.86
75000,261.49,16.23
76000,273.69,18.53
77000,278.97,18.69
78000,287.57,18.74
79000,291.52,18.8
80000,289.96,18.96
81000,298.21,19.4
82000,310.36,20.16
83000,312.51,20.57
84000,316.58,20.62
85000,309.98,19.75
86000,316.16,20.71
87000,312.81,20.51
88000,301.75,20.71
89000,304.79,20.7
90000,302.44,21.03
91000,309.3,22.12
92000,304.88,22.26
93000,303.92,22.77
94000,310.92,23.8
95000,319.87,24.78
96000,315.29,25.51
97000,299.03,25.73
98000,313.43,24.72
99000,288.36,23.48
100000,270.48,23.94
101000,273.86,24
102000,260.48,23.01
103000,258.59,22.4
104000,246.44,21.49
105000,253.9,22.49
106000,267.16,24.58
107000,280.1,24.89
108000,279.35,25.06
109000,273.26,23.24
110000,259.71,20.63
111000,267.96,20.79
112000,269.71,20.75
113000,283.74,22.55
114000,294.55,24.08
115000,304.42,24.99
116000,316.11,25.47
117000,328.94,27
118000,331.74,27.23
119000,346.78,29.4
120000,353.38,29.58
121000,369.72,30.44
122000,378.09,30.09
123000,384.27,29.99
124000,384.35,29.88
125000,379.56,30.39
126000,392.85,30.82
127000,395,30.49
128000,391.78,30.33
129000,387.05,30.17
130000,391.13,30.58
131000,367.98,31.14
132000,378.68,31.81
133000,385.02,32.21
134000,385.31,33.19
135000,376.78,33.28
136000,384.32,33.38
137000,399.4,36.26
138000,402.72,34.82
139000,396.94,34.37
140000,410.03,36.32
141000,406.33,37.52
142000,398.66,36.81
143000,402.06,37.22
144000,411.12,38.02
145000,427.82,37.88
146000,435.05,37.53
147000,430.27,37.74
148000,437.94,37.47
149000,446.82,37.65
150000,441.77,38.11
151000,428.34,37.91
152000,432.94,38.3
153000,438.62,38.69
154000,435.83,39.35
155000,415.62,38.99
156000,416.19,38.8
157000,408.71,38.24
158000,404.33,37.47
159000,405.98,36.58
160000,381.4,33.56
161000,378.68,33.71
162000,340,25.95
163000,341.89,26.05
164000,342.84,26.04
165000,350.44,27.13
166000,350.27,27.12
167000,353.71,27.82
168000,362.78,28.62
169000,366.82,29.4
170000,378.34,33.07
171000,386.62,33.68
172000,392.16,34.75
173000,399.03,35.89
174000,403.99,36.76
175000,406.78,36.78
176000,418.76,37.37
177000,428.41,38.01
178000,430.59,37.96
179000,435.59,37.77
180000,443.34,38.51
181000,451.87,38.87
182000,435.34,39.26
183000,444.51,39.98
184000,447.71,40.02
185000,422.98,40.33
186000,419.43,39.91
187000,427.14,39.75
188000,438.49,39.68
189000,445.35,39.59
190000,447.29,39.58
191000,444.4,40.13
192000,446.54,40.26
193000,454.04,40.16
194000,470.91,43.76
195000,479.2,43.94
196000,495.19,44.53
197000,495.79,44.19
198000,514.93,45.82
199000,525.08,46.8
200000,524.12,47.06
201000,511.59,47.34
202000,519.41,48.7
203000,540.76,51.22
204000,528.24,50.02
205000,525.85,49.73
206000,490.7,48.63
207000,488.91,48.42
208000,513.02,51.14
209000,524.41,52.16
210000,526.76,53.63
211000,527.09,53.04
212000,527.04,52.77
213000,519.7,52.2
214000,526.96,52.04
215000,558.67,53.5
216000,573.3,53.29
217000,581.47,53.06
218000,573.26,53.05
219000,586.46,52.56
220000,590.2,52.94
221000,605.74,53.09
222000,611.7,52.77
223000,622.24,53.34
224000,631.35,53.77
225000,606.25,51.81
226000,549.9,52.21
227000,529.43,51.78
228000,399.03,46.99
229000,256.12,39.27
230000,221.61,34.33
231000,231.28,35.1
232000,211.68,34.64
233000,196.44,33.93
234000,205.13,35.09
235000,214.42,36.18
236000,157.81,28.79
237000,135.41,24.32
238000,137.33,23.95
239000,152.16,26
240000,169.24,27.84
241000,162.53,27.29
242000,172.59,27.54
243000,188.54,27.82
244000,206.32,27.49
245000,222.85,27.5
246000,204.63,25.22
247000,162.06,21.28
248000,142.85,18.88
249000,120.02,13.69
250000,104.71,12.88
251000,107.68,13.61
252000,112.64,13.67
253000,113.25,13.37
254000,122.33,13.57
255000,111.04,11.83
256000,115.32,11.98
257000,118.67,12.06
258000,122.09,12.25
259000,128.96,12.75
260000,131.02,12.77
261000,126.6,12.95
262000,125.39,12.8
263000,115.87,10.28
264000,109.17,9.73
265000,111.25,9.67
266000,107.95,9.42
267000,103.72,9.21
268000,99.5,8.53
269000,91.89,7.18
270000,93.75,7.78
271000,93.44,7.53
272000,102,9.24
273000,107.61,9.89
274000,117.02,11.58
275000,134.94,14.76
276000,155.52,19.23
277000,164.55,20.18
278000,169.4,20.47
279000,173.73,20.54
