Steps,Average Return,Standard Error
290000,599.81,55.69
291000,590.22,54.96
292000,583.71,54.47
293000,578.05,54.79
294000,537.67,48.6
295000,475.98,38.75
296000,454.6,36.87
297000,425.05,34.69
298000,430.76,36.07
299000,443.81,37.07
300000,420.84,35.59
301000,379.22,29.95
302000,398.41,32.7
303000,391.75,31.37
304000,394.18,31.32
305000,407.09,32.1
306000,409.29,31.98
307000,423.76,32.46
308000,281.17,35.05
309000,273.81,36.51
310000,270.52,37.05
311000,278.53,39.71
312000,280.46,39.7
313000,283.39,42.42
314000,279.92,42.22
315000,253.39,39.35
316000,242.78,38.25
317000,240.03,37.92
318000,240.25,38.24
319000,252.32,38.76
320000,267.16,39.2
321000,285.44,39.57
322000,313.16,41.12
323000,344.82,42.38
324000,366.86,42.98
325000,384.23,42.4
326000,414.82,43.99
327000,441.86,45.19
328000,468.02,45.48
329000,472.43,45.79
330000,497.64,48.58
331000,524.51,51.33
332000,549.87,54.9
333000,570.74,54.37
334000,572.17,53.82
335000,590.28,54.55
336000,604.13,54.1
337000,611.55,56.95
338000,618.76,57.03
339000,633.15,57.04
340000,632.87,57.07
341000,663.18,61.17
342000,678.82,61.14
343000,689.99,61.36
344000,693.46,61.44
345000,705.46,61.85
346000,692.4,61.71
347000,673.01,62.19
348000,652.27,61.6
349000,647.21,61.15
350000,631.96,61.37
351000,617.02,60.66
352000,620.47,60.2
353000,602.07,57.92
354000,581.68,54.89
355000,580.31,55.43
356000,599.23,56.11
357000,605.95,55.92
358000,594.33,55.25
359000,596.0,56.2
360000,576.91,50.93
361000,582.18,50.14
362000,587.97,50.63
363000,593.54,50.44
364000,601.23,51.01
365000,568.44,44.94
366000,574.81,44.86
367000,576.52,44.71
368000,596.32,45.23
369000,581.93,45.12
370000,555.88,44.79
371000,563.54,44.96
372000,569.79,45.35
373000,586.24,44.82
374000,579.1,45.19
375000,581.89,45.25
376000,597.32,46.92
377000,609.18,50.38
378000,627.38,49.45
379000,639.4,50.71
380000,654.33,50.72
381000,651.43,50.3
382000,662.39,49.97
383000,642.0,45.83
384000,638.39,46.22
385000,625.74,46.12
386000,621.19,45.0
