Steps,Average Return,Standard Error
1000,17.34,4.73
2000,39.72,6.53
3000,53.63,6.25
4000,68.71,6.91
5000,80.42,7.16
6000,95.96,7.19
7000,113.77,6.59
8000,128.75,5.88
9000,140.59,5.33
10000,148.1,5.06
11000,159.97,5.03
12000,166.65,5.17
13000,171.07,4.59
14000,168.25,4.56
15000,171.18,4.32
16000,161.89,5.91
17000,163.86,5.94
18000,164.79,6.3
19000,170.77,6.67
20000,177.34,6.82
21000,180.4,7.05
22000,190.46,7.67
23000,197.25,7.66
24000,201.57,7.61
25000,206.23,7.32
26000,213.23,6.7
27000,224.93,5.45
28000,229.5,5.11
29000,235.88,5.22
30000,221.32,7.65
31000,176.27,9.71
32000,138.72,10.57
33000,132.74,10.53
34000,133.62,10.53
35000,131.4,10.26
36000,125.71,9.58
37000,129.42,9.28
38000,142.51,9.72
39000,148.5,10.19
40000,166.0,10.41
41000,184.67,10.15
42000,201.64,9.93
43000,218.14,9.49
44000,238.67,8.35
45000,255.01,7.11
46000,270.39,5.32
47000,270.36,5.27
48000,271.13,5.51
49000,275.11,5.26
50000,274.9,5.55
51000,276.82,5.6
52000,270.55,6.46
53000,269.42,6.44
54000,270.98,6.58
55000,263.91,6.69
56000,254.28,6.99
57000,248.89,6.81
58000,251.25,7.44
59000,251.91,8.11
60000,257.83,8.13
61000,267.17,9.7
62000,278.49,10.92
63000,287.16,11.34
64000,288.19,11.41
65000,294.79,11.16
66000,296.76,10.94
67000,296.38,10.95
68000,290.7,11.75
69000,298.99,11.3
70000,306.31,11.33
71000,313.19,12.4
72000,310.78,13.03
73000,322.56,14.56
74000,332.78,15.32
75000,343.06,15.65
76000,346.96,15.69
77000,345.92,15.64
78000,350.29,15.81
79000,354.69,16.03
80000,356.79,16.51
81000,357.99,17.59
82000,362.48,17.75
83000,368.88,18.3
84000,368.86,18.51
85000,386.72,18.62
86000,400.7,18.84
87000,405.69,18.77
88000,408.21,18.17
89000,427.72,18.59
90000,423.25,19.64
91000,432.59,21.05
92000,441.98,23.15
93000,438.77,24.18
94000,452.24,26.76
95000,457.05,27.39
96000,462.84,28.08
97000,469.6,28.62
98000,473.01,28.99
99000,481.77,29.05
100000,483.93,29.05
101000,487.71,29.54
102000,492.02,31.99
103000,500.24,33.19
104000,505.82,33.56
105000,497.78,33.87
106000,485.02,34.36
107000,490.05,34.35
108000,498.05,34.67
109000,506.7,34.92
110000,511.27,35.29
111000,519.41,35.45
112000,519.43,35.45
113000,520.21,35.64
114000,516.21,35.53
115000,518.06,35.35
116000,507.04,36.13
117000,507.81,36.18
118000,509.05,36.28
119000,514.03,36.72
120000,521.03,36.98
121000,535.14,36.71
122000,544.37,37.42
123000,526.4,37.56
124000,531.74,36.81
125000,533.54,37.08
126000,548.79,38.25
127000,518.33,35.44
128000,509.44,34.92
129000,500.73,34.48
130000,509.86,35.36
131000,514.21,35.28
132000,503.16,33.55
133000,476.08,32.31
134000,485.04,31.59
135000,484.1,32.87
136000,462.94,31.59
137000,465.26,31.5
138000,465.99,31.6
139000,468.37,31.88
140000,487.8,36.64
141000,499.17,36.71
142000,496.87,36.97
143000,506.1,37.9
144000,525.96,40.56
145000,531.11,40.17
146000,536.01,40.85
147000,533.75,42.28
148000,528.93,42.44
149000,489.7,43.44
150000,445.72,41.59
151000,456.96,41.87
152000,461.02,42.76
153000,467.13,42.96
154000,471.36,43.44
155000,493.4,45.03
156000,492.97,45.16
157000,492.66,44.67
158000,499.78,44.4
159000,515.93,44.24
160000,522.95,44.29
161000,528.2,45.34
162000,543.46,49.03
163000,545.35,50.13
164000,560.05,52.01
165000,567.64,52.14
166000,572.69,52.29
167000,565.79,49.28
168000,567.01,48.94
169000,520.32,46.47
170000,519.91,46.45
171000,500.21,45.16
172000,495.72,44.94
173000,504.95,44.91
174000,513.81,45.1
175000,526.65,44.54
176000,547.47,47.01
177000,568.87,49.02
178000,579.72,48.99
179000,565.05,48.36
180000,569.82,48.1
181000,569.54,48.08
182000,563.72,48.03
183000,494.75,48.3
184000,490.58,48.58
185000,492.01,48.7
186000,503.6,49.34
187000,490.07,48.43
188000,478.71,43.57
189000,470.93,41.94
190000,488.79,42.18
191000,486.23,42.63
192000,480.52,42.3
193000,481.09,42.13
194000,477.66,41.97
195000,492.36,42.15
196000,479.31,42.81
197000,445.56,43.0
198000,415.19,36.05
199000,430.71,37.17
200000,434.47,37.1
201000,450.94,40.19
202000,460.66,41.04
203000,449.62,40.18
204000,466.38,40.18
205000,481.31,40.82
206000,501.03,40.71
207000,488.41,40.12
208000,477.48,40.37
209000,454.23,41.18
210000,420.24,36.77
211000,407.27,36.96
212000,415.32,37.62
213000,402.61,38.18
214000,390.11,38.14
215000,381.38,37.52
216000,386.94,37.99
217000,392.18,38.45
218000,395.94,38.85
219000,403.25,39.32
220000,406.61,39.73
221000,402.09,39.77
222000,417.96,40.05
223000,437.15,39.91
224000,440.47,39.71
225000,451.7,40.54
226000,461.38,40.72
227000,471.06,40.93
228000,477.3,41.26
229000,487.91,41.48
230000,493.39,41.84
231000,506.22,41.82
232000,481.01,40.88
233000,482.82,41.11
234000,469.66,38.14
235000,462.47,37.25
236000,465.2,37.83
237000,464.22,38.11
238000,477.08,38.85
239000,492.11,40.36
240000,490.05,39.46
241000,497.2,38.66
242000,496.18,38.72
243000,503.04,39.09
244000,503.45,39.07
245000,497.58,38.86
246000,504.78,39.14
247000,512.76,39.55
248000,517.32,40.38
249000,524.01,41.83
250000,536.23,42.3
251000,542.18,42.07
252000,542.94,42.25
253000,549.37,42.49
254000,565.76,43.55
255000,584.73,43.54
256000,597.44,43.37
257000,605.53,43.72
258000,612.14,44.76
259000,623.32,44.95
260000,631.19,44.44
261000,637.35,43.83
