Steps,Average Return,Standard Error
1000,22.78349897,2.227978173
2000,31.93457662,2.164759127
3000,45.58132767,3.048196741
4000,56.86723284,4.138243408
5000,71.48092947,5.376337845
6000,87.19741968,6.090046455
7000,102.8977107,6.349012494
8000,114.8721773,6.51053922
9000,130.2278504,6.250420515
10000,147.3321872,5.100871357
11000,158.5010142,5.067357966
12000,170.8120808,4.403594266
13000,180.8092784,3.435998934
14000,183.4995696,3.435770685
15000,184.9403217,3.500950234
16000,188.2453176,3.501061345
17000,191.6763645,3.514159838
18000,196.0244173,3.64374772
19000,200.657153,3.436303316
20000,204.4400687,2.95637467
21000,203.8238661,2.918708462
22000,204.7244713,2.950997503
23000,205.679007,3.334895473
24000,207.3517224,3.343525652
25000,209.7511769,3.237491156
26000,213.7863796,3.422002732
27000,218.023592,3.620006871
28000,221.0935614,4.284904127
29000,227.3827051,4.203328317
30000,234.4600302,4.100266176
31000,241.6417621,4.529808055
32000,249.0319607,4.806194176
33000,253.2960819,4.879923796
34000,259.8480476,4.384855309
35000,264.7463157,4.079960934
36000,267.7643067,3.873001743
37000,272.0883072,3.397145494
38000,271.9993578,3.459039841
39000,272.499497,2.891976075
40000,269.6776384,3.0081279
41000,266.3039511,3.665762819
42000,262.9673943,3.646532542
43000,259.5441416,3.448263459
44000,260.0470046,3.220513507
45000,261.9004254,3.413485032
46000,265.6555672,3.732778802
47000,267.0095536,4.363185218
48000,271.9901284,4.508482157
49000,276.2781872,4.70207534
50000,282.4304637,4.860732172
51000,288.4660812,5.37692177
52000,295.4348087,5.597776724
53000,297.9343245,6.397450968
54000,302.4566689,6.948356854
55000,308.8846812,6.453935338
56000,311.906395,6.451396302
57000,316.9928982,6.2482536
58000,315.9827128,6.71742235
59000,315.7108916,6.74352989
60000,315.7724001,6.878668565
61000,318.0671312,7.012464488
62000,317.0891456,7.214916528
63000,319.7757636,7.016038647
64000,321.9788807,7.223364814
65000,320.2441879,7.875768172
66000,324.8542389,9.085231901
67000,320.9012156,10.20819167
68000,307.7543814,10.62444612
69000,305.160597,9.86134315
70000,300.9030846,9.727927248
71000,300.76252,9.724466768
72000,306.849084,11.11481257
73000,308.5031191,11.97742858
74000,301.8567578,12.27102435
75000,304.3900921,12.36289772
76000,306.2296027,12.43253534
77000,311.8065462,13.01642086
78000,309.7389559,14.43438981
79000,286.1475596,16.16590853
80000,211.6296582,18.5251738
81000,188.9349987,18.29863699
82000,189.3654866,18.31640052
83000,191.0543599,18.45044086
84000,191.8634953,18.49553354
85000,194.5694357,18.7958638
86000,199.6030795,19.658495
87000,204.6502333,20.85499395
88000,210.6378128,22.27588673
89000,212.2037642,22.56793217
90000,206.9409137,21.69406234
91000,204.8861305,21.28768307
92000,213.8717799,23.37102011
93000,221.718909,24.83313428
94000,230.9697529,26.21547723
95000,240.0891118,27.0739371
96000,247.3569917,28.32140682
97000,247.9826819,28.58829067
98000,240.3542961,28.3568565
99000,240.9065203,28.38952339
100000,257.5096637,28.67531361
101000,272.0012432,28.15303947
102000,287.5462763,27.45632716
103000,299.7760987,27.07485646
104000,306.6652339,27.18752832
105000,321.6388209,27.74440477
106000,337.0145236,27.38094475
107000,354.118153,26.31475337
108000,365.2883638,25.53850619
109000,375.923985,26.35617195
110000,394.1647973,25.48654388
111000,396.7897944,25.50104738
112000,390.7446543,24.94222894
113000,394.1857132,24.49847582
114000,397.0405945,24.21484389
115000,401.8486353,24.52227984
116000,400.0802463,24.99843668
117000,385.7960527,22.860721
118000,367.6616448,20.72301049
119000,363.0355465,20.32443611
120000,365.4255171,20.76176873
121000,366.6063055,20.39951105
122000,362.097207,20.41386577
123000,364.9648166,21.09114966
124000,370.6069504,22.00778953
125000,375.5747796,23.09720221
126000,381.5046498,24.03797299
127000,383.3144224,24.33697888
128000,381.7605747,24.58461986
129000,365.4490504,23.43139518
130000,372.7557218,23.49679316
131000,388.1242943,25.19419193
132000,395.0402208,26.08556792
133000,401.9249834,26.93223771
134000,407.0668365,27.86325681
135000,397.1687889,26.93481153
136000,394.709225,26.92963032
137000,379.5196493,26.61574479
138000,377.0917688,27.25764221
139000,360.0155976,27.21050534
140000,361.612463,26.80244958
141000,355.7677839,26.91776799
142000,357.9931344,26.87252365
143000,364.4261691,26.26777091
144000,361.3313529,26.0653393
145000,332.4012913,22.37269901
146000,339.639359,22.24721468
147000,345.4747033,22.12220161
148000,363.0592272,22.85570118
149000,353.9498639,20.58180229
150000,365.5932478,22.13924878
151000,377.4077454,24.70843722
152000,368.5902466,24.79120629
153000,369.5434116,25.11570491
154000,364.6714721,25.52243186
155000,353.5538367,26.34502749
156000,352.5933375,26.19796792
157000,359.5064513,26.2780318
158000,359.1323333,26.53588411
159000,354.1170655,26.90616852
160000,361.1359102,27.32328371
161000,343.9626,28.18106705
162000,355.3031328,29.19990662
163000,360.5292706,29.67212932
164000,368.2147487,30.36752219
165000,372.3001864,30.58412655
166000,393.8238754,34.18056259
167000,397.4257862,34.20597459
168000,416.8112189,37.36918366
169000,423.8784971,38.21532154
170000,426.174332,38.45756056
171000,432.5527943,38.89151903
172000,427.0070476,39.03498913
173000,415.6506463,38.48902489
174000,408.2938793,35.96742468
175000,411.5273554,36.3895255
176000,420.1090638,37.04733916
177000,425.2193177,37.79149879
178000,421.3175233,40.54590343
179000,429.340162,40.37925027
180000,434.1066676,41.01886319
181000,423.0854149,41.73348785
182000,419.9014025,41.86076591
183000,426.0331304,41.84408383
184000,433.5741925,41.884235
185000,441.7252323,46.04873123
186000,398.0563179,43.85985131
187000,329.6958084,41.20721437
188000,328.2107285,40.82472086
189000,333.3203939,40.95881199
190000,354.7773709,42.38002603
191000,347.4111939,42.37448693
192000,340.5381887,42.23261846
193000,337.1741187,41.69473633
194000,342.3699669,43.10297722
195000,349.3649064,43.3106166
196000,358.2188774,43.79219305
197000,375.4206446,45.88921257
198000,395.8181002,46.39072234
199000,413.3073435,46.85603515
200000,437.7779977,49.96627619
201000,463.5087752,53.4504518
202000,464.3607368,53.45995128
203000,472.523401,53.97298651
204000,472.8130262,53.97447001
205000,495.4493667,53.43046933
206000,511.3844623,52.87590072
207000,528.8197504,52.70147656
208000,549.9351183,52.95410871
209000,542.3299819,52.7953112
210000,532.1401344,52.05402738
211000,543.8463569,51.91924443
212000,563.5519495,53.52170258
213000,563.0186334,53.52127984
214000,596.5455975,55.7348889
215000,599.1000871,55.55612663
216000,618.6882626,54.94812644
217000,643.8797414,55.30976102
218000,668.2122294,54.72285898
219000,655.436847,54.96910711
220000,653.1707315,55.60889644
221000,645.1789179,55.32508205
222000,641.4556354,55.08277817
223000,638.8432638,55.0572855
224000,654.8287715,57.25128604
225000,657.4510567,59.79511239
226000,633.398971,58.31080442
227000,653.8478544,58.51106374
228000,662.8452727,58.4179728
229000,624.8587596,54.16942375
230000,618.3355197,54.92371204
231000,593.3264637,55.99040443
232000,586.205566,55.8318667
233000,584.0423462,55.20547249
234000,575.5373334,53.23048995
235000,571.7057487,53.61252974
236000,519.9825397,49.31258435
237000,493.2825904,49.959888
238000,447.0410025,48.17598572
239000,447.7402633,48.68176723
240000,436.0779506,48.70171684
241000,431.1218031,49.72543037
242000,424.681684,49.5518211
243000,351.1692361,38.4306688
244000,310.1519861,34.56777562
245000,309.1914619,34.57929529
246000,309.0941821,34.60115807
247000,299.4303423,34.23122272
248000,279.6616278,30.84566963
249000,284.2835847,31.30114235
250000,277.6010196,31.63130527
251000,245.5230942,30.78378184
252000,226.0247994,28.53787437
253000,208.213201,27.13204633
254000,200.3085808,26.98679356
255000,207.8147339,27.09896999
256000,216.3225139,27.33607386
257000,211.6184354,26.81084653
258000,169.1734348,20.65423308
259000,165.2698005,19.96009597
260000,176.1981708,19.93340151
261000,171.5442645,18.23388594
262000,178.5458458,18.62899135
263000,187.8644461,19.43478365
264000,187.7082946,17.62759369
265000,200.0517553,18.47556186
266000,214.2271099,19.6389934
267000,230.1667242,21.81264323
268000,239.4738638,23.17851383
269000,249.4491877,23.61281552
270000,269.3395587,27.5825766
271000,278.1784337,27.48248131
272000,287.4400019,27.67699917
273000,289.266072,28.00374568
274000,291.1801357,28.73930231
275000,309.5618161,28.74510096
276000,316.989663,28.51343862
277000,335.3923693,29.4327516
278000,356.7774781,29.95071571
279000,376.5103109,31.4575369
280000,387.7957052,31.55778186
281000,399.6547953,32.34787936
282000,421.5419458,34.91527488
283000,437.6384729,35.08017548
284000,431.5117165,35.6501824
285000,401.3232017,37.16315981
286000,410.5479574,37.47511345
287000,403.8238834,38.73756591
288000,381.7824996,36.70050565
289000,381.8109523,38.44856937
290000,386.3877181,38.94008798
291000,399.4963369,40.05851564
292000,398.1448463,40.46932337
293000,399.855516,42.57582564
294000,379.8388458,42.5252858
295000,376.8011967,41.62208793
296000,313.5171242,38.47564033
297000,292.1246893,38.16909552
298000,293.8553299,38.10274976
299000,277.052224,37.11909991
300000,261.8918926,35.2539772
301000,227.3201543,33.49848019
302000,194.7530853,28.59914896
303000,190.5959571,28.53949295
304000,144.1948965,19.70835112
305000,115.8593162,16.68744286
306000,101.3969934,16.03699872
307000,96.61033407,15.857722
308000,80.01983446,14.54095064
309000,75.41354933,14.49227988
310000,48.2666491,4.934945853
311000,49.05667721,4.150887354
312000,52.2151992,4.430326268
313000,49.76740512,4.199798993
314000,52.84348382,5.0625055
315000,55.56272544,5.346131541
316000,56.26275785,5.400315027
317000,61.1494869,5.778397778
318000,58.45572395,5.900781368
319000,63.85856555,6.518663496
320000,66.63196419,6.465692497
321000,69.02927637,6.993809896
322000,67.20965227,6.463861672
323000,65.17611281,6.485215999
324000,61.12988507,6.119372221
325000,65.28759619,6.30228604
326000,70.33306938,6.648624825
327000,68.33001919,6.315667029
328000,69.39095576,6.408824936
329000,64.40388825,6.050698485
330000,67.15700058,6.015943799
331000,65.51310264,5.890315841
332000,56.48701499,5.455928318
333000,51.95203138,4.878138337
334000,47.89906022,4.502027425
335000,45.89661268,4.272123142
336000,51.24247502,5.627231202
337000,51.80051071,5.764005258
338000,54.85226805,6.009683865
339000,56.77148348,6.450982471
340000,62.5657517,6.893931789
341000,67.18223901,7.08266014
342000,72.54645666,7.221519259
343000,67.25760441,6.427178311
344000,66.37523826,6.534991842
345000,60.18473659,5.913954604
346000,59.28959743,5.87750824
347000,47.61515665,4.36021359
348000,43.66103715,3.469349661
349000,47.34849445,4.249841021
350000,59.14682176,7.804306142
351000,63.70853762,8.550020116
352000,76.30384766,10.79330787
353000,79.71876557,10.76339556
354000,85.23637986,10.82670793
355000,86.96671085,10.93865226
356000,102.0558738,14.93469766
357000,120.8040783,18.83299352
358000,131.0469172,19.27768655
359000,154.7951075,23.90319494
360000,175.3127768,25.32554374
361000,198.450466,28.01564628
362000,216.7318306,28.75258292
363000,231.0993622,29.39183734
364000,255.7625563,30.76831433
365000,267.4923404,31.11003709
366000,282.0441864,31.00051584
367000,291.5792415,31.23904853
368000,290.7599211,30.93365125
369000,291.9030778,30.96066385
370000,269.6226833,29.71880769
371000,249.3897138,27.08091656
372000,256.3498822,26.65433552
373000,264.4968118,27.58200901
374000,260.1500225,26.3728913
375000,263.1731732,27.77287741
376000,243.4109261,26.29519694
377000,234.1099082,25.9313514
378000,238.4868798,26.58461918
379000,237.5882484,26.84006188
380000,218.9383631,27.49576118
381000,203.6414606,27.52693405
382000,141.5109155,23.15638756
383000,113.5851378,18.20773367
384000,77.22495422,14.12999531
385000,74.37239352,12.90466376
386000,86.19863712,14.67841471
387000,104.4078838,16.17262026
388000,119.4159679,16.95891757
389000,126.1922506,16.98816608
390000,146.2232486,21.45908891
391000,149.4102963,21.98973036
392000,149.9292623,22.99740123
393000,145.2404166,22.29788167
394000,110.6171884,20.65545267
395000,104.3212117,20.31295144
396000,86.45505636,15.71078941
397000,83.94014438,15.57034847
398000,98.22532779,17.52579786
399000,90.08438364,15.57739077
400000,93.8249617,15.29812083
401000,101.1083509,15.41488078
402000,114.5236189,19.10156434
403000,105.1644445,18.19362242
404000,88.20117138,15.21406591
405000,91.07038442,15.84239382
406000,89.97183255,15.42076539
407000,87.70725724,15.83946969
408000,68.06355828,10.15050752
409000,66.50976821,10.21642878
410000,55.5723785,7.668765111
411000,49.59003384,6.816083454
412000,37.92629969,3.72497896
413000,38.12127294,3.606350347
414000,36.53805805,2.764283068
415000,35.97482381,2.771467899
416000,36.07534075,3.051243214
417000,34.83021793,3.038538401
418000,37.52946934,3.304133897
419000,37.20179263,3.336523178
420000,39.22600929,3.94469167
421000,40.61596442,4.108211665
422000,43.94561207,4.744718166
423000,41.51333165,4.632462988
424000,42.03457479,4.411060233
425000,42.80287891,3.913122369
426000,47.76934543,4.684787894
427000,58.96958949,8.40834638
428000,73.75209965,11.23467718
429000,88.48598993,14.33104027
430000,109.5578957,17.95791928
431000,122.0039485,18.76500865
432000,145.2690833,23.01085824
433000,158.6073475,24.57751635
434000,169.3098942,25.39242836
435000,180.2653086,26.6978453
436000,148.3958181,25.87399092
437000,114.2526313,22.14709138
438000,71.33565915,13.74567807
439000,46.12356343,5.536618185
440000,45.92295983,5.644849773
441000,41.73281925,5.082746518
442000,34.4277886,3.520057006
443000,32.65015078,3.75921511
444000,31.13157141,3.601678234
445000,34.22836333,3.933132117
446000,32.40862425,3.32477265
447000,33.4372626,3.070217504
448000,36.85794733,3.165057659
449000,35.12379936,2.930389264
450000,38.73407857,3.597148886
451000,41.23833824,4.616489986
452000,44.06400364,4.861050612
453000,56.16980416,8.384724078
454000,66.35347219,12.81679259
455000,72.1718809,12.79009691
456000,78.35933672,12.82207854
457000,86.81950908,13.11118385
458000,92.26042022,13.23728439
459000,90.96548674,12.97748569
460000,81.70231805,12.70426058
461000,65.68483771,7.124343755
462000,76.28482879,10.91350269
463000,91.12873247,12.38981563
464000,101.1035791,13.29338771
465000,100.2378916,14.23361963
466000,99.4320127,14.28126931
467000,95.06549634,14.26964097
468000,69.78808043,10.4160266
469000,37.92483444,3.312948888
470000,42.16416933,3.946719165
471000,45.32808752,3.956179468
472000,47.06206883,4.235704478
473000,44.13292127,4.222592914
474000,42.88009947,3.82430006
475000,45.73971542,3.963173954
476000,46.49856341,4.049837739
477000,49.4109918,3.953968741
478000,49.62340648,4.042506501
479000,52.3179602,4.844828382
480000,52.6876853,5.369440019
481000,57.98778003,6.670611653
482000,61.16319629,7.698597001
483000,63.04624336,7.807494602
484000,69.64263518,7.938042241
485000,75.61259408,8.570639949
486000,84.64614681,10.59179204
487000,79.02194787,9.545088885
488000,83.20392725,9.710077836
489000,81.80056605,9.60574854
490000,72.11312789,9.120070317
491000,65.25379049,7.204728721
492000,60.3299029,6.870856133
493000,55.36444064,6.565305652
494000,51.29913633,6.089585472
495000,48.58006941,4.614387666
496000,48.75865272,4.413387245
497000,64.99248704,11.05707985
498000,73.45675061,12.21751552
499000,88.58694999,15.71324025
500000,99.73660927,16.53593697
501000,113.0957602,16.9882436
502000,119.023094,16.91626008
503000,138.7404195,19.3801364
504000,145.678064,20.0448818
505000,158.3598564,24.49033146
506000,131.6171305,21.49044738
507000,127.1252968,23.15740786
508000,128.4313124,23.32472998
509000,133.1978343,23.63559096
510000,114.8220401,22.06228419
511000,108.0839849,22.5412456
512000,92.84979833,21.52957866
513000,86.79586765,18.95685031
514000,85.21753263,18.7380091
515000,78.50630168,18.2645931
516000,59.72986819,7.39636851
517000,72.48894202,9.87106743
518000,86.68152829,13.69867482
519000,97.62427818,14.29807407
520000,111.5167906,16.99116819
521000,115.4528458,18.10473909
522000,104.549941,17.64300028
523000,93.27832542,16.70354304
524000,77.84946903,13.61470125
525000,49.03055694,5.142752117
526000,45.75185694,5.069834324
527000,45.26613016,5.235232158
528000,46.04566973,4.990325449
529000,48.65133061,4.714248396
530000,45.40826614,4.344823101
531000,41.88084589,3.658740249
532000,41.07463608,3.513929908
533000,48.79396405,6.354936104
534000,44.96023019,6.160271261
535000,39.96363444,6.182699931
536000,35.0266426,6.058348402
537000,26.87110257,2.503344236
538000,31.31061355,3.368350692
539000,31.05221485,3.389682878
540000,32.23540229,3.541740266
541000,30.42600404,3.506248372
542000,32.86101801,3.437473839
543000,33.85839707,3.240446605
544000,38.21296503,3.641587043
545000,43.71138448,4.541212057
546000,47.03967762,4.77001083
547000,50.14349051,4.780833516
548000,49.30783519,4.786576139
549000,49.68235627,4.680376864
550000,41.32625896,3.630597633
551000,41.88316071,5.614324807
552000,36.93036966,5.398312538
553000,39.32797737,5.589665907
554000,46.33079457,7.747150367
555000,43.1664839,6.471031315
556000,49.00577447,6.946400524
557000,47.78228145,7.373312283
558000,48.47738725,7.578642957
559000,44.04602466,7.35200286
560000,44.63224087,7.122112545
561000,45.17192324,6.861382727
562000,52.40965683,8.754148812
563000,57.01065662,9.781267468
564000,73.92345198,13.69296441
565000,97.55762937,21.41352634
566000,110.8800006,23.5751352
567000,127.1072313,25.25464759
568000,139.3836302,26.44678742
569000,154.802905,29.14809015
570000,178.6847714,31.32553056
571000,189.1128287,32.55148549
572000,213.2072661,35.74176809
573000,225.5709328,37.047499
574000,239.7251162,38.68735696
575000,256.1273362,40.68577505
576000,275.5664264,41.96463253
577000,273.8266228,41.6672382
578000,289.0580919,42.01321206
579000,278.3390871,39.73695016
580000,255.6184299,38.64724918
581000,220.7320664,36.18801012
582000,162.3278026,29.66231222
583000,98.6131811,17.23039529
584000,47.00148947,8.413518978
585000,41.0391484,5.560363588
586000,47.43186794,6.638407812
587000,47.13247075,6.426442107
588000,41.31611135,5.962282207
589000,39.96657775,6.01556506
590000,32.91598534,3.905941009
591000,30.83854487,3.717414136
592000,33.37154506,3.875223746
593000,31.65157476,3.276745086
594000,32.02459132,3.144920492
595000,32.30041575,2.975792948
596000,35.96778167,3.796567207
597000,34.72355688,3.72552617
598000,36.5104019,3.818116798
599000,42.05733768,4.156600446
600000,46.87630849,4.787116537
601000,47.6467657,4.982832279
602000,49.28460701,4.797244062
603000,54.81437108,5.432043497
604000,56.76990921,5.56713766
605000,52.40177735,5.533898551
606000,44.10627392,5.064831257
607000,35.87200157,4.292334379
608000,29.87872592,2.925553226
609000,26.09561217,2.26816546
610000,28.35291358,2.754165963
611000,30.35460406,2.829613061
612000,31.41683539,2.999686839
613000,33.51325933,3.118870276
614000,29.58854007,2.585897959
615000,28.30177254,2.911415687
616000,27.79041059,2.700516151
617000,29.23027142,2.85917767
618000,27.17790653,2.722718387
619000,27.93213713,2.422303732
620000,31.68683913,2.992559926
621000,32.98632756,3.222041066
622000,36.79862219,3.378368289
623000,37.74824337,3.48171613
624000,37.31181276,3.591658714
625000,34.49346906,3.088515269
626000,34.59275651,2.921568382
627000,31.96526942,2.829181902
628000,25.47025305,2.166245211
629000,25.52208721,2.182578913
630000,28.36056936,2.693959846
631000,35.4091425,3.574359748
632000,42.17991447,4.607794055
633000,48.13057204,4.966927163
634000,54.29801082,6.246546168
635000,64.67261745,8.051996436
636000,75.8130049,10.15729955
637000,90.69549648,11.43762741
638000,104.0375682,12.66714445
639000,118.0606908,13.20895379
640000,128.7284349,13.75897014
641000,145.804397,16.80867888
642000,156.9345647,17.78957656
643000,165.7432676,17.7027358
644000,177.6286026,17.81792347
645000,185.2590742,18.59302128
646000,197.0820467,20.20362947
647000,208.3315866,20.12548275
648000,226.8483773,21.08346435
649000,235.4312042,22.34969982
650000,220.3009885,22.17620857
651000,208.2721959,22.51790998
652000,186.1168298,20.84565355
653000,161.9557357,20.30098019
654000,143.8460757,18.38801464
655000,119.5358374,15.55988167
656000,119.4591078,15.41741391
657000,117.9140904,14.75208357
658000,109.8664354,13.77938194
659000,100.8165875,11.83760743
660000,110.7750757,13.31371279
661000,112.2091513,11.71628036
662000,126.8345482,12.9022594
663000,139.1743485,13.9064448
664000,144.8177963,15.06819491
665000,159.2069331,16.43176993
666000,178.6117262,17.49159883
667000,202.2585002,23.12660255
668000,208.5525965,23.46903886
669000,215.8149092,23.26600592
670000,225.9840765,23.16684905
671000,228.4063888,23.45470855
672000,228.6905781,23.12183383
673000,219.1522188,23.17836187
674000,205.8278432,23.11105239
675000,189.2665525,23.00807996
676000,175.2494878,22.55477454
677000,93.7597279,11.51222668
678000,54.60842396,6.049909155
679000,48.78795074,5.444667074
680000,39.73816794,5.159921094
681000,32.06637226,4.091386614
682000,33.48969241,4.468648153
683000,37.25404566,4.740434034
684000,35.7847552,4.481706823
685000,38.55804973,4.381193778
